,country,description,points,price,province,title,variety,winery
61683,Italy,"Here's a sparkling rosé that sports a bright raspberry pink color with blue highlights and aromas of wild berries, ash and white stone. In fact, the mineral component defines this wine and helps create a tonic and tight mouthfeel. Saccharine blueberry flavors make a brief appearance on the end.",84,14.0,Italy Other,Giovello NV Rosé Dry Cuvée Sparkling (Italy),Sparkling Blend,Giovello
61692,Italy,"This Prosecco Brut does have a touch of wet cardboard that weighs down the wine's natural aromas of peach, citrus and honey. The appearance is bright and luminous and the wine tastes tonic and fresh in the mouth.",84,18.0,Veneto,Toffoli NV Brut  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Toffoli
61697,Italy,"A thin but crisp finish characterizes this luminous Prosecco, which also offers measured aromas of stone fruit, honey and jasmine. Pair this wine with simple finger foods on a hot summer afternoon.",84,12.0,Italy Other,Zonin NV Prosecco (Italy),Prosecco,Zonin
61703,Italy,"This is a pink-colored rosé sparkler made from Brachetto grapes that offers fresh aromas of raspberry, white cherry and cranberry. The bubbly produces a foamy cap and soda like effervescence with very sweet raspberry candy flavors on the close. Serve chilled with chocolate chip cookies.",83,13.0,Piedmont,Martini & Rossi NV Rosé Brachetto (Piedmont),Brachetto,Martini & Rossi
61712,France,"With just the right amount of bottle aging, this almost bone-dry Champagne is tight, steely while also hinting at the beginnings of toastiness. It is also full of crisp apple, lemon and pink grapefruit fruitiness, well integrated into the taut texture. Drink now for freshness, age for even more toastiness.",93,80.0,Champagne,Jacquesson et Fils NV Cuvée No 736 Brut  (Champagne),Champagne Blend,Jacquesson et Fils
61714,France,"Ultra Brut, the original no-dosage Champagne, is the name and that's just how this bone-dry wine tastes. It's totally crisp, fruity, structured and fresh. Acidity from tight citrus combines with apples and pears to produce a wine that offers both fruitiness and dryness. Like many super-dry Champagnes, it will benefit from some bottle aging, so drink at least six months after purchase.",93,75.0,Champagne,Laurent-Perrier NV Ultra Brut  (Champagne),Champagne Blend,Laurent-Perrier
61716,Germany,"Delicate floral notes mingle with smoke and struck flint on this gorgeously composed Riesling sparkling. The palate is delicately pétillant with soft, tiny bubbles that fill the mouth with layers of caramelized sugar, fresh pears, blossom and minerals. Striking acidity drives a long, umami-touched finish.",93,38.0,Mosel,Peter Lauer NV Sekt Brut Riesling (Mosel),Riesling,Peter Lauer
61722,France,"To celebrate the family's 150th anniversary (founded in 1864), the Milans have released two Champagnes, half fermented in wood the other half in tank. The result for this Blanc de Blancs is a full wine, with a future that will bring out richness as well as a tight, mineral structure with just a hint of toast.",93,124.0,Champagne,Jean Milan NV Duo 150 Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Jean Milan
61724,France,"This beautifully balanced wine has dryness compensated by the intense fruitiness, the crisp mineral texture and a creamy mousse character. It is ripe, full of both apple fruits and lime juice with a tight aftertaste that will soften in the next months.",93,50.0,Champagne,Lelarge-Pugeot NV Les Meuniers de Clémence Vrigny Premier Cru Extra Brut  (Champagne),Champagne Blend,Lelarge-Pugeot
61736,Portugal,"This sparkling wine from Touriga Nacional grapes is dry, not just with acidity but also its firm tannic structure. An acquired taste, perhaps, but great with fresh sardines or other oily fish. Drink now.",85,8.0,Bairrada,Global Wines NV Encontro Q do E Tinto Bruto Classico Sparkling (Bairrada),Portuguese Sparkling,Global Wines
61746,US,A soft mouthfeel and fresh golden delicious apple flavors make this light-bodied wine easy on the palate. It has crisp and clean flavors all the way through.,85,18.0,California,The Naked Grape NV Pinot Grigio (California),Pinot Grigio,The Naked Grape
61757,Portugal,"This is a classic style of Bairrada sparkling wine—a blend of Bical, Maria Gomes and Arinto. Plenty of crisp acidity and soft white fruit flavors balance its yeasty character. Drink now.",85,8.0,Bairrada,Global Wines NV Encontro Q do E Blanco Bruto Classico Sparkling (Bairrada),Portuguese Sparkling,Global Wines
61806,Portugal,"This is a dry sparkling wine with tannins, spice and berry fruit, giving it a deep color. Not an apéritif wine, it's perfect for cutting through rich, oily foods. Drink now.",85,7.0,Tejo,Adega Cooperativa do Cartaxo NV Plexus Tinto Alicante Bouschet (Tejo),Alicante Bouschet,Adega Cooperativa do Cartaxo
61829,France,"Orange-pink color on this soft, ripe rosé. The balance is better than in past years, with acidity cutting the red fruits. Light-bodied with a good texture.",89,50.0,Champagne,Vranken NV Demoiselle Rosé Brut  (Champagne),Champagne Blend,Vranken
61836,France,"One of the trio of Dumangin wines around a single variety and named after family forebears, this is a rare pure Pinot Meunier. It shows a delicate softness, perfumed with ripe, smoky apricot fruit, ready to drink now.",89,145.0,Champagne,J. Dumangin Fils NV Cuvée Achille Brut Nature Pinot Meunier (Champagne),Pinot Meunier,J. Dumangin Fils
61838,France,"A Blanc de Noirs uses only black grapes and can be powerful with a tannic edge. That's the case here, the wine full of citrus zest, an apple-skin texture and a tight and tannic feel. A real food Champagne.",89,51.0,Champagne,Mailly Grand Cru NV Blanc de Noirs Brut  (Champagne),Champagne Blend,Mailly Grand Cru
61857,France,"With its attractively decorated bottle, this is a crisp, fruity and lively apéritif wine. It sparkles easily with bright red currant fruits, light acidity and a bright, fresh aftertaste.",87,35.0,France Other,Château Léoube NV Sparkling de Léoube Sparkling (Vin Mousseux),Sparkling Blend,Château Léoube
61859,Spain,"This Chardonnay heavy offering shows mild lime and apple aromas. The palate is plump and full, with bready, yeasty apple flavors that end on a lees note and clean, mild apple flavors.",87,15.0,Catalonia,Codorníu NV Anna Sparkling (Cava),Sparkling Blend,Codorníu
61889,US,"This blend of Tempranillo, Malbec, Dolcetto, Merlot and Syrah could have turned into a generic red, yet it is seamless and nicely proportioned. It's a real crowd-pleaser, with a ripe red-fruit flavor and generous new-barrel-derived toast and spice notes.",90,15.0,Oregon,Abacela NV Vintner's Blend #12 Red (Southern Oregon),Red Blend,Abacela
61898,Italy,"This is a unique wine for enthusiasts of the natural wine movement. It shows a dark garnet color, with spicy aromas of dried fruit, currant and Indian spice. A bright tone of dried mint and rosemary lingers on the finish.",90,75.0,Sicily & Sardinia,Frank Cornelissen NV MunJebel 7 10th Anniversary  (Etna),Nerello Mascalese,Frank Cornelissen
61942,France,"With 80% Chardonnay in the blend, this is a mature-tasting wine, much of which comes from the Côte des Blancs. It has an enticing toasty character that has changed the initial fruitiness of the wine to one where the secondary flavors dominate. It is ripe, intense with acidity, a tangy texture, spice and almonds. Drink now.",92,60.0,Champagne,Lombard et Cie NV Tanagra Brut Grand Cru  (Champagne),Champagne Blend,Lombard et Cie
61985,US,"New Mexico and Riesling seem an unlikely combination but it works in this wine. Scents of almond, apricot and freesia lead to a slightly sweet palate that winds down to a short, soft finish. Drink up.",83,11.0,New Mexico,St. Clair NV Riesling (New Mexico),Riesling,St. Clair
62002,Portugal,"Gold in color, this wine deftly balances the sweetness of the orange marmalade flavor with the dry edge that comes from the spirit and the slight tannic character. Ready to drink.",86,20.0,Port,Ramos-Pinto NV Adriano Reserva White  (Port),Port,Ramos-Pinto
62227,Italy,"Lightly scented, this offers aromas of white spring flowers, citrus peel and a whiff of chopped herbs. The linear palate offers yellow apple, pear and thyme alongside racy acidity and brisk bubbles.",87,22.0,Veneto,Borgoluce NV  Valdobbiadene Prosecco Superiore,Glera,Borgoluce
62232,France,"From the Côte des Bar in the southern Aube region of Champagne, this ripe rosé is all fruit. Layers of raspberry, red plum and wild strawberry are tied together with a light tannic texture and plenty of acidity. The aftertaste is as fresh and crisp as possible.",87,49.0,Champagne,Chassenay d'Arce NV Brut Rosé  (Champagne),Champagne Blend,Chassenay d'Arce
62330,France,"This small production wine showcases the qualities of Pinot Meunier. It's rich and smooth, with plenty of white fruit and an intense streak of lime crispness. Having already had time to mature, it hints at toastiness on the finish. Drink now.",94,60.0,Champagne,Serveaux Fils NV Cuvée Brut Pinot Meunier (Champagne),Pinot Meunier,Serveaux Fils
62352,England,"A whiff of salted caramel endows the nose with an appetizing idea of toffee apple. The frothy palate is lively and shows off ripe, fruity apple notes of Red Delicous and shortcrust pastry. Crispness is countered by richer, playful fruit that anchors notes of biscuit and yeast. The finish is sustained.",90,60.0,England,Hush Heath Estate NV Leslie's Reserve Sparkling (England),Sparkling Blend,Hush Heath Estate
62489,Spain,"Crisp white-fruit aromas come with a touch of green grass. It feels regular, with briny lime and tart apple flavors.",85,30.0,Catalonia,Maria Casanovas NV Glaç Brut Nature Sparkling (Cava),Sparkling Blend,Maria Casanovas
62504,Portugal,"The kind of succulent aged tawny that gives the class a good name. It's a dreamy kind of drink, chock full of buttery hazelnut and dried stone fruits. If you like yours rich and creamy, yet still alive enough to warm the system on a chilly night, this is the one.",91,59.0,Portugal,Ramos-Pinto NV Quinta do Bom Retiro 20 Year Tawny Port (Portugal),Port,Ramos-Pinto
62551,Spain,"With aromatic touches of haystack and vanilla in addition to green apple and mineral, the nose is inviting. On the palate, it's nice and lemony, with green apple acids offering a modest scour. Cleansing and ideal with simple finger foods. Very nice for the price.",88,10.0,Catalonia,Segura Viudas NV Brut Reserva Sparkling (Cava),Sparkling Blend,Segura Viudas
62552,Spain,"A dry and austere style is what you're looking at with Heredad. The nose offers simple citrus and soda aromas, while the palate is sheer and defined by apple, light spice and cleansing acidity. Not much depth below the surface but definitely clean and flashy.",88,20.0,Catalonia,Segura Viudas NV Reserva Heredad Sparkling (Cava),Sparkling Blend,Segura Viudas
62567,Spain,"A lively number with kick and effervescence. The nose is kind, with light fruits and a whiff of chocolate. Plum and raspberry flavors are nice and accented by earthy spice, while the wine's texture and structure seem more than solid, given its everyday price.",88,10.0,Catalonia,Segura Viudas NV Brut Rosé Sparkling (Cava),Sparkling Blend,Segura Viudas
62614,Portugal,"A light, crisp strawberry- and melon-flavored wine, with a fresh mint aroma. There is some sweetness, but the acidity and fresh fruits balance that attractively.",83,6.0,Portugal,Herdade do Esporão NV Alandra Rosé Red (Portugal),Portuguese Red,Herdade do Esporão
62658,Greece,"Orange peel, spice and lemon aromas start this Muscat out with spirit. On the palate, vanilla, toasted nut and lemon/orange flavors create a very pretty and balanced white. The wine finishes clean and crisp. An elegant choice that reflects the refined minerality for which Greece is known.",90,13.0,Patras,Loukatos NV Muscat (Patras),Muscat,Loukatos
62672,US,"This svelte wine has a tantalizing doughy, toasty aroma and a velvety-rich and bubbly texture. Light fruit flavors come with almond accents.",90,20.0,California,Rack & Riddle NV Brut Sparkling (North Coast),Sparkling Blend,Rack & Riddle
62679,US,"Notes of licorice, dried rose, spiced cherry and sweaty saddle leather mark the nose of this red blend. It has high-pitched flavors, and the tangy acids and medium amount of chalky tannins give the wine traction.",85,22.0,Virginia,Bogati NV Collection I Red (Virginia),Red Blend,Bogati
